App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,sentiment_score
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33M,1000000,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,0.2684828944203944
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39M,5000000,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,0.41264880952380956
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12M,100000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,0.28350877192982454
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25M,500000,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,0.1718359526825084
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1M,100000,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,0.29185714285714287
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11M,100000,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,0.3609907670454546
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11M,100000,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,0.09945261437908497
Floor Plan Creator,ART_AND_DESIGN,4.1,36639,Varies with device,5000000,Free,0.0,Everyone,Art & Design,"July 14, 2018",Varies with device,2.3.3 and up,0.26461547586547585
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,10000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,0.2048395689349637
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17M,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.24112599206349206
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4M,100000,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,0.30857474747474745
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27M,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.29566032132549985
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,10000000,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,0.28779230407542616
